Time,Left Leg (kg),Right Leg (kg),Total (kg),Status,Affected Muscle
25/03/2026 10:21:30,30.31,34.81,65.12,Imbalance,Left Gastrocnemius
25/03/2026 10:22:00,30.58,30.0,60.58,Balanced,Balanced
25/03/2026 10:22:30,50.4,48.67,99.07,Balanced,Balanced
25/03/2026 10:23:00,76.82,68.5,145.32,Imbalance,Right Tibialis Anterior
25/03/2026 10:23:30,63.3,56.19,119.49,Imbalance,Right Gastrocnemius
25/03/2026 10:24:00,42.65,44.14,86.79,Balanced,Balanced
25/03/2026 10:24:30,71.96,95.0,166.96,Imbalance,Left Gracilis
25/03/2026 10:25:00,73.37,52.08,125.45,Imbalance,Right Gracilis
25/03/2026 10:25:30,56.88,34.97,91.85,Imbalance,Right Gluteus Minimus
25/03/2026 10:26:00,55.91,71.61,127.52,Imbalance,Left Semitendinosus
25/03/2026 10:26:30,41.83,38.2,80.03,Imbalance,Right Tibialis Anterior
25/03/2026 10:27:00,49.8,44.56,94.36,Imbalance,Right Peroneus Longus
25/03/2026 10:27:30,62.38,61.06,123.44,Balanced,Balanced
25/03/2026 10:28:00,33.28,47.99,81.27,Imbalance,Left Gluteus Medius
25/03/2026 10:28:30,36.48,30.0,66.48,Imbalance,Right Iliopsoas
25/03/2026 10:29:00,67.96,84.83,152.79,Imbalance,Left Sartorius
25/03/2026 10:29:30,61.12,61.2,122.32,Balanced,Balanced
25/03/2026 10:30:00,52.28,70.66,122.94,Imbalance,Left Adductor Magnus
25/03/2026 10:30:30,66.65,48.72,115.37,Imbalance,Right Semitendinosus
25/03/2026 10:31:00,42.2,48.23,90.43,Imbalance,Left Soleus
25/03/2026 10:31:30,43.42,30.0,73.42,Imbalance,Right Gluteus Maximus
25/03/2026 10:32:00,38.38,46.92,85.3,Imbalance,Left Vastus Lateralis
25/03/2026 10:32:30,33.4,31.8,65.2,Balanced,Balanced
25/03/2026 10:33:00,78.72,60.6,139.32,Imbalance,Right Adductor Longus
25/03/2026 10:33:30,57.35,44.65,102.0,Imbalance,Right Adductor Magnus
25/03/2026 10:34:00,42.89,55.51,98.4,Imbalance,Left Semimembranosus
25/03/2026 10:34:30,46.08,30.0,76.08,Imbalance,Right Gluteus Maximus
25/03/2026 10:35:00,79.54,91.44,170.98,Imbalance,Left Soleus
25/03/2026 10:35:30,70.28,63.05,133.33,Imbalance,Right Gastrocnemius
25/03/2026 10:36:00,81.06,63.42,144.48,Imbalance,Right Semimembranosus
25/03/2026 10:36:30,72.79,71.87,144.66,Balanced,Balanced
25/03/2026 10:37:00,81.99,93.42,175.41,Imbalance,Left Gastrocnemius
25/03/2026 10:37:30,56.35,73.16,129.51,Imbalance,Left Adductor Longus
25/03/2026 10:38:00,49.05,47.4,96.45,Balanced,Balanced
25/03/2026 10:38:30,81.13,95.0,176.13,Imbalance,Left Sartorius
25/03/2026 10:39:00,46.79,66.24,113.03,Imbalance,Left Semimembranosus
25/03/2026 10:39:30,70.44,68.64,139.08,Balanced,Balanced
25/03/2026 10:40:00,71.88,54.47,126.35,Imbalance,Right Adductor Longus
25/03/2026 10:40:30,78.15,57.96,136.11,Imbalance,Right Gracilis
25/03/2026 10:41:00,82.73,91.92,174.65,Imbalance,Left Peroneus Longus
25/03/2026 10:41:30,65.51,65.19,130.7,Balanced,Balanced
25/03/2026 10:42:00,41.56,63.31,104.87,Imbalance,Left Tensor Fasciae Latae
25/03/2026 10:42:30,44.08,33.84,77.92,Imbalance,Right Adductor Longus
25/03/2026 10:43:00,83.56,92.38,175.94,Imbalance,Left Gastrocnemius
25/03/2026 10:43:30,83.4,77.59,160.99,Imbalance,Right Tibialis Anterior
25/03/2026 10:44:00,51.17,51.96,103.13,Balanced,Balanced
25/03/2026 10:44:30,65.87,57.38,123.25,Imbalance,Right Soleus
25/03/2026 10:45:00,51.37,50.61,101.98,Balanced,Balanced
25/03/2026 10:45:30,46.77,44.87,91.64,Balanced,Balanced
25/03/2026 10:46:00,56.39,39.07,95.46,Imbalance,Right Iliopsoas
25/03/2026 10:46:30,73.43,72.49,145.92,Balanced,Balanced
25/03/2026 10:47:00,73.44,58.54,131.98,Imbalance,Right Vastus Lateralis
25/03/2026 10:47:30,37.46,36.93,74.39,Balanced,Balanced
25/03/2026 10:48:00,31.69,33.1,64.79,Balanced,Balanced
25/03/2026 10:48:30,53.65,38.87,92.52,Imbalance,Right Biceps Femoris
25/03/2026 10:49:00,36.86,30.0,66.86,Imbalance,Right Iliopsoas
25/03/2026 10:49:30,53.06,76.87,129.93,Imbalance,Left Tensor Fasciae Latae
25/03/2026 10:50:00,68.28,68.32,136.6,Balanced,Balanced
25/03/2026 10:50:30,57.84,61.27,119.11,Imbalance,Left Gastrocnemius
25/03/2026 10:51:00,52.44,30.0,82.44,Imbalance,Right Iliopsoas
25/03/2026 10:51:30,80.24,92.05,172.29,Imbalance,Left Gastrocnemius
25/03/2026 10:52:00,48.89,49.54,98.43,Balanced,Balanced
25/03/2026 10:52:30,57.68,72.71,130.39,Imbalance,Left Sartorius
25/03/2026 10:53:00,57.95,53.26,111.21,Imbalance,Right Peroneus Longus
25/03/2026 10:53:30,63.42,71.33,134.75,Imbalance,Left Soleus
25/03/2026 10:54:00,76.54,95.0,171.54,Imbalance,Left Rectus Femoris
25/03/2026 10:54:30,79.39,80.42,159.81,Balanced,Balanced
25/03/2026 10:55:00,88.71,94.31,183.02,Imbalance,Left Soleus
25/03/2026 10:55:30,37.64,30.0,67.64,Imbalance,Right Gluteus Minimus
25/03/2026 10:56:00,67.48,61.64,129.12,Imbalance,Right Peroneus Longus
25/03/2026 10:56:30,38.95,30.0,68.95,Imbalance,Right Gluteus Minimus
25/03/2026 10:57:00,87.08,75.87,162.95,Imbalance,Right Peroneus Longus
25/03/2026 10:57:30,61.63,78.18,139.81,Imbalance,Left Vastus Lateralis
25/03/2026 10:58:00,72.89,89.19,162.08,Imbalance,Left Vastus Lateralis
25/03/2026 10:58:30,64.24,88.28,152.52,Imbalance,Left Semitendinosus
25/03/2026 10:59:00,59.01,58.89,117.9,Balanced,Balanced
25/03/2026 10:59:30,38.65,38.44,77.09,Balanced,Balanced
25/03/2026 11:00:00,56.38,55.28,111.66,Balanced,Balanced
25/03/2026 11:00:30,85.86,74.07,159.93,Imbalance,Right Vastus Lateralis
25/03/2026 11:01:00,73.22,71.44,144.66,Balanced,Balanced
25/03/2026 11:01:30,41.11,31.74,72.85,Imbalance,Right Semitendinosus
25/03/2026 11:02:00,39.28,36.18,75.46,Imbalance,Right Gastrocnemius
25/03/2026 11:02:30,69.89,49.29,119.18,Imbalance,Right Adductor Longus
25/03/2026 11:03:00,33.02,56.44,89.46,Imbalance,Left Tensor Fasciae Latae
25/03/2026 11:03:30,89.02,95.0,184.02,Imbalance,Left Vastus Medialis
25/03/2026 11:04:00,52.72,52.15,104.87,Balanced,Balanced
25/03/2026 11:04:30,30.09,30.0,60.09,Imbalance,Right Gluteus Medius
25/03/2026 11:05:00,74.43,95.0,169.43,Imbalance,Left Adductor Magnus
25/03/2026 11:05:30,75.16,69.59,144.75,Imbalance,Right Peroneus Longus
25/03/2026 11:06:00,57.43,59.28,116.71,Balanced,Balanced
25/03/2026 11:06:30,48.81,48.97,97.78,Balanced,Balanced
25/03/2026 11:07:00,64.61,69.67,134.28,Imbalance,Left Peroneus Longus
25/03/2026 11:07:30,85.63,89.97,175.6,Imbalance,Left Gastrocnemius
25/03/2026 11:08:00,48.57,38.75,87.32,Imbalance,Right Vastus Lateralis
25/03/2026 11:08:30,40.34,30.0,70.34,Imbalance,Right Gluteus Minimus
25/03/2026 11:09:00,55.34,56.13,111.47,Balanced,Balanced
25/03/2026 11:09:30,42.22,41.58,83.8,Balanced,Balanced
25/03/2026 11:10:00,88.4,95.0,183.4,Imbalance,Left Vastus Lateralis
25/03/2026 11:10:30,51.27,75.66,126.93,Imbalance,Left Gluteus Minimus
25/03/2026 11:11:00,30.16,30.0,60.16,Imbalance,Right Iliopsoas
25/03/2026 11:11:30,64.2,52.75,116.95,Imbalance,Right Vastus Lateralis
25/03/2026 11:12:00,55.53,54.99,110.52,Balanced,Balanced
25/03/2026 11:12:30,49.95,48.64,98.59,Balanced,Balanced
25/03/2026 11:13:00,34.07,35.33,69.4,Balanced,Balanced
25/03/2026 11:13:30,60.64,69.95,130.59,Imbalance,Left Vastus Medialis
25/03/2026 11:14:00,49.72,42.61,92.33,Imbalance,Right Vastus Lateralis
25/03/2026 11:14:30,58.48,64.71,123.19,Imbalance,Left Soleus
25/03/2026 11:15:00,46.44,33.63,80.07,Imbalance,Right Gracilis
25/03/2026 11:15:30,88.77,95.0,183.77,Imbalance,Left Vastus Lateralis
25/03/2026 11:16:00,72.65,87.73,160.38,Imbalance,Left Sartorius
25/03/2026 11:16:30,82.31,95.0,177.31,Imbalance,Left Sartorius
25/03/2026 11:17:00,74.73,56.87,131.6,Imbalance,Right Biceps Femoris
25/03/2026 11:17:30,88.23,95.0,183.23,Imbalance,Left Vastus Lateralis
25/03/2026 11:18:00,34.77,30.0,64.77,Imbalance,Right Adductor Magnus
25/03/2026 11:18:30,41.92,50.19,92.11,Imbalance,Left Vastus Lateralis
25/03/2026 11:19:00,70.12,70.65,140.77,Balanced,Balanced
25/03/2026 11:19:30,79.41,95.0,174.41,Imbalance,Left Rectus Femoris
25/03/2026 11:20:00,52.38,51.33,103.71,Balanced,Balanced
25/03/2026 11:20:30,78.86,79.46,158.32,Balanced,Balanced
25/03/2026 11:21:00,64.01,39.2,103.21,Imbalance,Right Gluteus Maximus
25/03/2026 11:21:30,49.42,50.88,100.3,Balanced,Balanced
25/03/2026 11:22:00,77.32,95.0,172.32,Imbalance,Left Vastus Medialis
25/03/2026 11:22:30,81.27,67.13,148.4,Imbalance,Right Vastus Lateralis
25/03/2026 11:23:00,40.31,30.24,70.55,Imbalance,Right Semitendinosus
25/03/2026 11:23:30,83.52,95.0,178.52,Imbalance,Left Vastus Lateralis
25/03/2026 11:24:00,78.66,59.64,138.3,Imbalance,Right Adductor Longus
25/03/2026 11:24:30,37.93,38.02,75.95,Balanced,Balanced
25/03/2026 11:25:00,36.11,37.59,73.7,Balanced,Balanced
25/03/2026 11:25:30,75.3,51.76,127.06,Imbalance,Right Gluteus Minimus
25/03/2026 11:26:00,75.07,87.0,162.07,Imbalance,Left Sartorius
25/03/2026 11:26:30,65.29,65.92,131.21,Balanced,Balanced
25/03/2026 11:27:00,39.58,38.66,78.24,Balanced,Balanced
25/03/2026 11:27:30,51.08,49.39,100.47,Balanced,Balanced
25/03/2026 11:28:00,62.98,82.8,145.78,Imbalance,Left Adductor Magnus
25/03/2026 11:28:30,61.29,61.44,122.73,Balanced,Balanced
25/03/2026 11:29:00,61.65,40.66,102.31,Imbalance,Right Gluteus Medius
25/03/2026 11:29:30,73.37,82.04,155.41,Imbalance,Left Peroneus Longus
25/03/2026 11:30:00,64.82,66.1,130.92,Balanced,Balanced
25/03/2026 11:30:30,38.26,33.64,71.9,Imbalance,Right Soleus
25/03/2026 11:31:00,70.44,53.7,124.14,Imbalance,Right Gracilis
25/03/2026 11:31:30,86.14,95.0,181.14,Imbalance,Left Rectus Femoris
25/03/2026 11:32:00,43.98,58.18,102.16,Imbalance,Left Gracilis
25/03/2026 11:32:30,46.32,68.27,114.59,Imbalance,Left Tensor Fasciae Latae
25/03/2026 11:33:00,43.85,50.27,94.12,Imbalance,Left Soleus
25/03/2026 11:33:30,45.8,37.98,83.78,Imbalance,Right Vastus Medialis
25/03/2026 11:34:00,80.47,95.0,175.47,Imbalance,Left Vastus Lateralis
25/03/2026 11:34:30,84.62,60.03,144.65,Imbalance,Right Adductor Longus
25/03/2026 11:35:00,60.01,59.09,119.1,Balanced,Balanced
25/03/2026 11:35:30,69.88,52.59,122.47,Imbalance,Right Biceps Femoris
25/03/2026 11:36:00,74.71,73.11,147.82,Balanced,Balanced
25/03/2026 11:36:30,78.51,84.52,163.03,Imbalance,Left Tibialis Anterior
25/03/2026 11:37:00,54.97,51.96,106.93,Imbalance,Right Tibialis Anterior
25/03/2026 11:37:30,42.79,41.85,84.64,Balanced,Balanced
25/03/2026 11:38:00,54.26,78.32,132.58,Imbalance,Left Iliopsoas
25/03/2026 11:38:30,45.96,47.71,93.67,Balanced,Balanced
25/03/2026 11:39:00,73.56,85.02,158.58,Imbalance,Left Vastus Medialis
25/03/2026 11:39:30,38.42,62.48,100.9,Imbalance,Left Iliopsoas
25/03/2026 11:40:00,74.51,61.5,136.01,Imbalance,Right Rectus Femoris
25/03/2026 11:40:30,42.9,30.53,73.43,Imbalance,Right Adductor Longus
25/03/2026 11:41:00,78.74,80.71,159.45,Balanced,Balanced
25/03/2026 11:41:30,58.75,75.95,134.7,Imbalance,Left Semimembranosus
25/03/2026 11:42:00,81.34,70.27,151.61,Imbalance,Right Sartorius
25/03/2026 11:42:30,66.85,49.02,115.87,Imbalance,Right Biceps Femoris
25/03/2026 11:43:00,66.95,84.31,151.26,Imbalance,Left Rectus Femoris
25/03/2026 11:43:30,78.22,95.0,173.22,Imbalance,Left Sartorius
25/03/2026 11:44:00,45.34,30.0,75.34,Imbalance,Right Iliopsoas
25/03/2026 11:44:30,47.6,70.46,118.06,Imbalance,Left Tensor Fasciae Latae
25/03/2026 11:45:00,86.58,95.0,181.58,Imbalance,Left Soleus
25/03/2026 11:45:30,68.74,82.8,151.54,Imbalance,Left Sartorius
25/03/2026 11:46:00,57.67,62.09,119.76,Imbalance,Left Gastrocnemius
25/03/2026 11:46:30,53.74,53.6,107.34,Balanced,Balanced
25/03/2026 11:47:00,63.08,38.18,101.26,Imbalance,Right Gluteus Minimus
25/03/2026 11:47:30,59.46,54.84,114.3,Imbalance,Right Peroneus Longus
25/03/2026 11:48:00,52.49,70.64,123.13,Imbalance,Left Biceps Femoris
25/03/2026 11:48:30,43.63,44.18,87.81,Balanced,Balanced
25/03/2026 11:49:00,41.7,34.08,75.78,Imbalance,Right Rectus Femoris
25/03/2026 11:49:30,50.51,48.58,99.09,Balanced,Balanced
25/03/2026 11:50:00,86.66,62.51,149.17,Imbalance,Right Gracilis
25/03/2026 11:50:30,46.69,47.39,94.08,Balanced,Balanced
25/03/2026 11:51:00,78.44,91.93,170.37,Imbalance,Left Sartorius
25/03/2026 11:51:30,57.97,37.43,95.4,Imbalance,Right Gluteus Medius
25/03/2026 11:52:00,41.51,41.44,82.95,Balanced,Balanced
25/03/2026 11:52:30,85.25,89.67,174.92,Imbalance,Left Gastrocnemius
25/03/2026 11:53:00,44.46,51.26,95.72,Imbalance,Left Rectus Femoris
25/03/2026 11:53:30,82.58,67.03,149.61,Imbalance,Right Rectus Femoris
25/03/2026 11:54:00,78.48,68.95,147.43,Imbalance,Right Tibialis Anterior
25/03/2026 11:54:30,65.5,59.47,124.97,Imbalance,Right Soleus
25/03/2026 11:55:00,68.44,62.95,131.39,Imbalance,Right Tibialis Anterior
25/03/2026 11:55:30,86.05,95.0,181.05,Imbalance,Left Sartorius
25/03/2026 11:56:00,58.95,81.55,140.5,Imbalance,Left Biceps Femoris
25/03/2026 11:56:30,81.68,68.93,150.61,Imbalance,Right Sartorius
25/03/2026 11:57:00,41.12,61.14,102.26,Imbalance,Left Tensor Fasciae Latae
25/03/2026 11:57:30,89.45,76.94,166.39,Imbalance,Right Rectus Femoris
25/03/2026 11:58:00,68.54,69.57,138.11,Balanced,Balanced
25/03/2026 11:58:30,68.4,68.31,136.71,Balanced,Balanced
25/03/2026 11:59:00,52.25,64.75,117.0,Imbalance,Left Sartorius
25/03/2026 11:59:30,49.3,50.66,99.96,Balanced,Balanced
25/03/2026 12:00:00,71.82,72.82,144.64,Balanced,Balanced
25/03/2026 12:00:30,69.2,67.44,136.64,Balanced,Balanced
25/03/2026 12:01:00,88.17,95.0,183.17,Imbalance,Left Tibialis Anterior
25/03/2026 12:01:30,38.61,38.81,77.42,Balanced,Balanced
25/03/2026 12:02:00,30.7,31.31,62.01,Balanced,Balanced
25/03/2026 12:02:30,65.94,70.33,136.27,Imbalance,Left Tibialis Anterior
25/03/2026 12:03:00,59.15,58.0,117.15,Balanced,Balanced
25/03/2026 12:03:30,45.01,30.0,75.01,Imbalance,Right Iliopsoas
25/03/2026 12:04:00,74.23,74.24,148.47,Balanced,Balanced
25/03/2026 12:04:30,89.09,95.0,184.09,Imbalance,Left Sartorius
25/03/2026 12:05:00,83.55,90.3,173.85,Imbalance,Left Soleus
25/03/2026 12:05:30,81.6,95.0,176.6,Imbalance,Left Adductor Magnus
25/03/2026 12:06:00,48.91,50.24,99.15,Balanced,Balanced
25/03/2026 12:06:30,74.14,57.77,131.91,Imbalance,Right Gracilis
25/03/2026 12:07:00,45.17,34.57,79.74,Imbalance,Right Semimembranosus
25/03/2026 12:07:30,54.82,55.94,110.76,Balanced,Balanced
25/03/2026 12:08:00,37.59,30.0,67.59,Imbalance,Right Iliopsoas
25/03/2026 12:08:30,59.04,58.58,117.62,Balanced,Balanced
25/03/2026 12:09:00,30.52,31.98,62.5,Balanced,Balanced
25/03/2026 12:09:30,68.3,59.29,127.59,Imbalance,Right Vastus Medialis
25/03/2026 12:10:00,60.15,58.81,118.96,Balanced,Balanced
25/03/2026 12:10:30,70.94,70.09,141.03,Balanced,Balanced
25/03/2026 12:11:00,30.88,52.39,83.27,Imbalance,Left Iliopsoas
25/03/2026 12:11:30,66.01,64.25,130.26,Balanced,Balanced
25/03/2026 12:12:00,43.62,58.83,102.45,Imbalance,Left Adductor Magnus
25/03/2026 12:12:30,58.48,37.03,95.51,Imbalance,Right Gluteus Medius
25/03/2026 12:13:00,89.43,70.52,159.95,Imbalance,Right Vastus Lateralis
25/03/2026 12:13:30,40.82,30.0,70.82,Imbalance,Right Gluteus Minimus
25/03/2026 12:14:00,32.7,30.84,63.54,Balanced,Balanced
25/03/2026 12:14:30,79.54,61.93,141.47,Imbalance,Right Biceps Femoris
25/03/2026 12:15:00,88.36,95.0,183.36,Imbalance,Left Peroneus Longus
25/03/2026 12:15:30,77.9,77.67,155.57,Balanced,Balanced
25/03/2026 12:16:00,32.92,33.56,66.48,Balanced,Balanced
25/03/2026 12:16:30,37.59,37.51,75.1,Balanced,Balanced
25/03/2026 12:17:00,47.65,71.39,119.04,Imbalance,Left Gluteus Minimus
25/03/2026 12:17:30,68.57,59.23,127.8,Imbalance,Right Sartorius
25/03/2026 12:18:00,66.72,48.93,115.65,Imbalance,Right Semitendinosus
25/03/2026 12:18:30,82.61,83.18,165.79,Balanced,Balanced
25/03/2026 12:19:00,34.67,30.0,64.67,Imbalance,Right Rectus Femoris
25/03/2026 12:19:30,72.6,72.91,145.51,Balanced,Balanced
25/03/2026 12:20:00,38.59,38.11,76.7,Balanced,Balanced
25/03/2026 12:20:30,63.28,64.3,127.58,Balanced,Balanced
25/03/2026 12:21:00,80.49,79.13,159.62,Balanced,Balanced
25/03/2026 12:21:30,70.56,76.05,146.61,Imbalance,Left Soleus
25/03/2026 12:22:00,70.08,71.23,141.31,Balanced,Balanced
25/03/2026 12:22:30,75.23,52.99,128.22,Imbalance,Right Adductor Longus
25/03/2026 12:23:00,51.47,61.64,113.11,Imbalance,Left Rectus Femoris
25/03/2026 12:23:30,31.42,31.31,62.73,Balanced,Balanced
25/03/2026 12:24:00,65.57,45.36,110.93,Imbalance,Right Gluteus Maximus
25/03/2026 12:24:30,81.43,92.09,173.52,Imbalance,Left Gastrocnemius
25/03/2026 12:25:00,32.05,32.99,65.04,Balanced,Balanced
25/03/2026 12:25:30,88.88,95.0,183.88,Imbalance,Left Gastrocnemius
25/03/2026 12:26:00,40.47,52.57,93.04,Imbalance,Left Adductor Longus
25/03/2026 12:26:30,83.11,84.87,167.98,Balanced,Balanced
25/03/2026 12:27:00,56.26,78.28,134.54,Imbalance,Left Adductor Magnus
25/03/2026 12:27:30,59.98,52.0,111.98,Imbalance,Right Sartorius
25/03/2026 12:28:00,64.71,79.66,144.37,Imbalance,Left Sartorius
25/03/2026 12:28:30,50.88,30.0,80.88,Imbalance,Right Tensor Fasciae Latae
25/03/2026 12:29:00,46.07,30.84,76.91,Imbalance,Right Tensor Fasciae Latae
25/03/2026 12:29:30,70.04,88.81,158.85,Imbalance,Left Rectus Femoris
25/03/2026 12:30:00,86.21,95.0,181.21,Imbalance,Left Gastrocnemius
25/03/2026 12:30:30,30.23,30.22,60.45,Balanced,Balanced
25/03/2026 12:31:00,61.33,62.99,124.32,Balanced,Balanced
25/03/2026 12:31:30,82.64,83.81,166.45,Balanced,Balanced
25/03/2026 12:32:00,67.3,79.62,146.92,Imbalance,Left Sartorius
25/03/2026 12:32:30,40.38,30.0,70.38,Imbalance,Right Gluteus Minimus
25/03/2026 12:33:00,87.48,95.0,182.48,Imbalance,Left Tibialis Anterior
25/03/2026 12:33:30,66.41,79.51,145.92,Imbalance,Left Vastus Lateralis
25/03/2026 12:34:00,84.54,82.76,167.3,Balanced,Balanced
25/03/2026 12:34:30,78.34,90.01,168.35,Imbalance,Left Gastrocnemius
25/03/2026 12:35:00,71.65,87.92,159.57,Imbalance,Left Vastus Medialis
25/03/2026 12:35:30,57.72,35.68,93.4,Imbalance,Right Gluteus Minimus
25/03/2026 12:36:00,62.9,81.19,144.09,Imbalance,Left Semitendinosus
25/03/2026 12:36:30,30.83,30.0,60.83,Imbalance,Right Tibialis Anterior
25/03/2026 12:37:00,71.36,77.38,148.74,Imbalance,Left Tibialis Anterior
25/03/2026 12:37:30,61.69,71.52,133.21,Imbalance,Left Sartorius
25/03/2026 12:38:00,34.2,30.0,64.2,Imbalance,Right Tensor Fasciae Latae
25/03/2026 12:38:30,54.35,50.03,104.38,Imbalance,Right Tibialis Anterior
25/03/2026 12:39:00,71.08,53.09,124.17,Imbalance,Right Gracilis
25/03/2026 12:39:30,86.66,87.4,174.06,Balanced,Balanced
25/03/2026 12:40:00,84.66,82.93,167.59,Balanced,Balanced
25/03/2026 12:40:30,70.84,89.76,160.6,Imbalance,Left Rectus Femoris
25/03/2026 12:41:00,63.96,69.7,133.66,Imbalance,Left Soleus
25/03/2026 12:41:30,66.87,63.44,130.31,Imbalance,Right Soleus
25/03/2026 12:42:00,46.52,67.08,113.6,Imbalance,Left Iliopsoas
25/03/2026 12:42:30,50.75,31.68,82.43,Imbalance,Right Gluteus Minimus
25/03/2026 12:43:00,51.82,35.34,87.16,Imbalance,Right Gluteus Maximus
25/03/2026 12:43:30,44.64,64.75,109.39,Imbalance,Left Iliopsoas
25/03/2026 12:44:00,51.98,65.03,117.01,Imbalance,Left Vastus Lateralis
25/03/2026 12:44:30,78.86,95.0,173.86,Imbalance,Left Sartorius
25/03/2026 12:45:00,30.3,30.0,60.3,Balanced,Balanced
25/03/2026 12:45:30,56.72,74.01,130.73,Imbalance,Left Gracilis
25/03/2026 12:46:00,39.39,55.81,95.2,Imbalance,Left Semimembranosus
25/03/2026 12:46:30,73.05,57.07,130.12,Imbalance,Right Adductor Longus
25/03/2026 12:47:00,75.66,94.79,170.45,Imbalance,Left Sartorius
25/03/2026 12:47:30,57.78,64.19,121.97,Imbalance,Left Gastrocnemius
25/03/2026 12:48:00,84.88,61.3,146.18,Imbalance,Right Adductor Magnus
25/03/2026 12:48:30,80.97,82.12,163.09,Balanced,Balanced
25/03/2026 12:49:00,46.58,42.31,88.89,Imbalance,Right Peroneus Longus
25/03/2026 12:49:30,45.27,65.91,111.18,Imbalance,Left Gluteus Minimus
25/03/2026 12:50:00,87.35,65.39,152.74,Imbalance,Right Adductor Longus
25/03/2026 12:50:30,48.54,58.7,107.24,Imbalance,Left Sartorius
25/03/2026 12:51:00,84.99,95.0,179.99,Imbalance,Left Vastus Medialis
25/03/2026 12:51:30,63.46,46.39,109.85,Imbalance,Right Adductor Longus
25/03/2026 12:52:00,43.51,59.29,102.8,Imbalance,Left Gracilis
25/03/2026 12:52:30,74.89,81.14,156.03,Imbalance,Left Tibialis Anterior
25/03/2026 12:53:00,86.81,71.93,158.74,Imbalance,Right Vastus Lateralis
25/03/2026 12:53:30,37.27,36.14,73.41,Balanced,Balanced
25/03/2026 12:54:00,37.93,56.03,93.96,Imbalance,Left Gluteus Maximus
25/03/2026 12:54:30,55.02,58.76,113.78,Imbalance,Left Peroneus Longus
